Title,Director,Year,Plot,Genre
Dance of the Steel Bars,Cesar Apolinario,2013,"A story inspired by actual events in a Filipino prison, the struggles that inmates experience and their quest to feel human again. This riveting feature film about redemption follows Frank Parish (Patrick Bergin), a retired US fireman and philanthropist who finds himself wrongly accused of murder and jailed in the Philippines. Stuck in prison, Frank was beginning to lose faith in everything he believed in until he becomes friends with Mando (Dingdong Dantes), a convicted murderer who denies his passion for dancing just to prove his masculinity and Allona (Joey Paras), a transsexual who tries to contribute to prison reforms by teaching his fellow inmates dance exercises. They get involved in a tricky struggle between the positive changes initiated by the new warden (Ricky Davao) and the corrupt system that weighs down the inmates' chance to become better individuals. Frank finds himself caught in an intricate web of lies and must choose between concealing what he knows to keep himself out of danger or to help his fellow inmates by revealing the truth. Will he remain on the sidelines as an observer, or will he dance the dance of the steel bars?::Anonymous",Drama
Bangungot1,Jun Pereira,2013,,Horror
Kapit sa Patalim1,Lao G. Mira,2013,,Drama
Four Sisters and a Wedding,Cathy Garcia-Molina,2013,"Four sisters try to stop the wedding of their younger brother and in doing so, all discover resentments among each other.::cinesum","Comedy, Drama"
My Lady Boss,Jade Castro,2013,A female boss hires a handsome assistant to annoy her cocky office rival but a prohibited office romance is going to blossom between the boss and the assistant.::cinesum,"Comedy, Romance"
Tuhog1,Veronica Velasco,2013,"Due to a road rage between two buses, an accident occurs which puts the lives of its passengers in jeopardy. But the ones greatly affected by such event are a middle-aged woman named Fiesta, an old and retired family patriarch Tonio, and a lad named Caloy. These three people are pierced through a single steel bar - a dangerous situation that even their doctors find hard to solve. But even before this unfortunate circumstance, these three have their share of ill-fated lives.::anonymous","Comedy, Drama"
Boy Kabayo1,G.A. Villafuerte,2013,,
Daniel Rapido1,Dyzal M. Damun,2013,A tough-as-nails policeman is tasked with apprehending the criminals behind a widespread illegal logging operation.,Action
Ekstra: The Bit Player1,Jeffrey Jeturian,2013,,
Amor y Muerte1,Ces M. Evangelista,2013,,Drama
Sana Dati1,Jerrold Tarog,2013,Andrea Gonzaga is about to marry a man she doesn't love when a mysterious guest arrives and suddenly reminds her of the man she truly loves.::Anonymous,"Drama, Romance"
Porno1,Adolfo B. Alix Jr.,2013,The novice Christian discovers a new world when big-time pick up artists Karl and Leo decide to teach him the tricks of their trade and change him into the kind of guy girls want to sleep with.::Johan Kaos,"Comedy, Drama"
Liars1,Gil M. Portes,2013,A mother and her daughter embarks on a desperate journey to find her missing husband. She met an guy who promised to help her for money. With limited money it become difficult to continue the search which leads to anxiety and despair.::Prasenjit Roy,"Adventure, Drama, Family"
Babagwa1,Jason Paul Laxamana,2013,,
Debosyon1,Alvin Yapan,2013,"To love is to have faith. Mando, a Bikolano devotee of Ina, Virgin of Penafrancia, Patroness of Bikolandia, injures himself in the middle of the forest at the foot of the Mayon Volcano. He will be nursed back to health by a mysterious woman, Salome, living there. They will fall in love with each other. But when Mando invites her to come with him to the plains, Salome refuses, saying a curse prohibits her from leaving the forest. Salome holds a secret that will devastate Mando's love for her. Mando relies on his devotion to the Virgin of Penafrancia to lift the curse, making realize how inextricably linked are the virtues of love and faith.::Anonymous","Drama, Fantasy"
Instant Mommy1,Leo Abaya,2013,"The story of Bechayda, a two-months-pregnant wardrobe assistant . In the fear of losing her Japanese lover and her dreams of a better life, she embarks on a plan that will get herself out of her predicament. Or so she thinks.::br",Comedy
Nuwebe1,Joseph Israel M. Laban,2013,,
Purok 71,Carlo Obispo,2013,"Diana (Krystle Valentino) and her little brother (Miggs Cuaderno) go through life and childhood in a country farm village particularly called ""Purok 7"" (Zone 7) where they experience the familiar, delightful ride that is growing up, along with the challenges that they are forced to deal with despite their young age. For one, their father is living with another woman in the area while their mother is working abroad. Set against a backdrop of laid-back living and copious optimism characteristic of country life, Purok 7 is an endearing tale of innocence and reality, and the wonderfully inescapable bonds of community.::Anonymous","Comedy, Drama, Family"
Quick Change1,Eduardo Roy Jr.,2013,,Drama
Rekorder1,Mikhail Red,2013,"Rekorder is the story of Maven, a tragic drifter who with his old camcorder records movies currently showing in theaters to sell the footage to pirates. The parting image shows Ronnie in the movie theater without his camcorder in hand. For the first time, he isn't asleep while the movie is playing. He is just there, sitting alone and motionless, completely engrossed by the movie he is watching. As it turns out, the movie is not the commercial features he has been recording throughout the years for the enterprising pirates, but security camera footage of a robbery that culminates in violence.::Anonymous","Drama, Thriller"
The Diplomat Hotel1,Christopher Ad Castillo,2013,A disgraced reporter seeks redemption by leading her documentary crew to spend one night and tell the story of what really happened at the haunted and infamous The Diplomat Hotel.::ctfabian,"Drama, Horror, Mystery, Thriller"
Transit1,Hannah Espia,2013,,"Short, Drama"
Bakit Hindi Ka Crush Ng Crush Mo?,Joyce Bernal,2013,It tells the story of a brainy ugly duckling girl and on how she turns into someone who's worth loving.::Keylogger24,"Comedy, Drama, Romance"
Raketeros,Randy Santiago,2013,,Comedy
Ang Mundo sa Panahon ng Bakal1,Mes De Guzman,2013,,
Ang Huling Henya,Marlon Rivera,2013,"Miri Alvarez is one of the agents tasked with protecting scientists from a tech-grabbing group called The Agency. When her partner gets killed after she refuses to follow protocol, Miri's past guilt about her parent's death resurfaces. As she is given a new case to investigate, Miri discovers baffling secrets that involve a mad genius, zombies, AND her parents.","Action, Comedy, Sci-Fi"
On the Job,Erik Matti,2013,Inspired by a real-life scandal in which prison inmates are temporarily released from prison to work as contract killers on behalf of politicians and high ranking military officials.::Anonymous,"Action, Crime, Drama, Thriller"
Talamak,Arturo San Agustin,2013,,Drama
"Sonata1, 3",Peque Gallaga,2013,"A woman whose whole life is her art, but when she loses it she goes into a self-exile, only to be, hopefully, reinvigorated by a young boy daring to bring it all back.::anonymous",Drama
"Lihis1, 3",Joel Lamangan,2013,"Set in the 70's during the darkest hours of Philippine History, we follow the story of two young NPA warriors who find themselves entangled in a web of frustration, despair and victory as they fight not only for democracy but also their love for each other.::anonymous",Drama
"Lauriana1, 3",Mel Chionglo,2013,"Set in 1955, the residents of a small idyllic village in Quezon are jolted to discover the dark, disturbing secret of a soldier and his common-law wife. Guilt and recrimination abound in the town and forces our protagonist into a six decade long journey of remorse, forgiveness and retribution.::anonymous",Drama
"Ano ang Kulay ng mga Nakalimutang Pangarap?1, 3",Joey Reyes,2013,"Concerned with themes of loyalty, old age, mortality and memories, the film traces the life of Teresa, a nanny who has dedicated sixty years of service to a middle class family at the expense of her own happiness and fulfillment. Though upon the death of the family patriarch, Teresa's fate is now up in the air as the family decides what sort of future is to come.::anonymous",Drama
"Bamboo Flowers1, 3",Maryo J. De Los Reyes,2013,"The actual chandelier-shaped bamboo flowers that blossom only before death inspire this anthology about the lives of different people in Bohol, who have to deal with the ever changing world around them. The erosion of traditions and beliefs forces change in their lives and pushes them towards drastic life decisions.::anonymous",Drama
"Tag-araw ni Twinkle1, 3",Gil M. Portes,2013,"The rebellious Twinkle Marie's life is about to get turned on its head due to a visit from an, unbeknownst to her, biological father with secrets to share. Entering into a tailspin of drugs, sickness, and lies forces her to reevaluate and asses things, then ultimately deciding on what's truly important.::anonymous",Drama
"Otso1, 3",Elwood Perez,2013,,
"Badil1, 3",Chito S. Roño,2013,,"Short, Music"
"Tinik1, 3",Romy Suzara,2013,This is the story of a middle-aged gay couturier and his attempts at keeping his dignity amidst the dilemmas and problems brought upon by his homosexuality.::Chris,Drama
"Bahay ng Lagim1, 3",Celso Ad. Castillo,2013,,Horror
Momzillas,Wenn V. Deramas,2013,"Clara and Minerva, the two women who shared the same man, meet again when their son and daughter, respectively, are about to marry each other.::cinesum","Comedy, Romance"
Ang Kwento Ni Mabuti1,Mes De Guzman,2013,,
Huling Chacha ni Anita1,Sigrid Andrea Bernardo,2013,,
Ang Pabo Man ay Turkey Rin1,Randolph Longjas,2013,,
Puti1,Mike Alcazaren,2013,"A psychological thriller about a counterfeit painter who figures in a freak car accident that renders him color blind; while recuperating, strange things start happening to him.::anonymous","Drama, Horror, Mystery"
Mga Alaala ng Tag-ulan1,Ato Bautista,2013,"A coming-of-age love story about a young man's first encounter with love, romance, and heartbreak, told in bits and pieces of poetic and melancholic memories that began on one rainy night.::anonymous",Drama
Bingoleras1,Ron Bryant,2013,"Six single women and a priest's lives intersect when a bingo marathon is launched in their church for the barangay fiesta, turning expectations and relationships upside down and inside out.::anonymous",Comedy
The Guerrilla is a Poet1,Kiri Dalena,2013,"The tale of an activist's journey during the turbulent years of Martial Law, until his capture in the mountains and the dark, nine years of imprisonment that followed, leading to his birth as a poet.::anonymous",Drama
The Muses1,Janice Perez,2013,"The Muses' vocalist, Marthe, and her guitarist younger sister, Marie, discover hidden truths about fame, music, family and their own selves on the night of an all-important music competition.::anonymous",Comedy
Kung Fu Divas,Onat Diaz,2013,"Charlotte is a veteran beauty queen aspirant from a small village in the Philippines. She belongs to a family of beauty queens and her mother tries to employ all the trick she knows to make Charlotte win this year in their village's annual beauty pageant, ""Hiyas ng Dalampasigan"". However, a drop-dead gorgeous beauty, named Samantha, joins the contest from out of nowhere and thwarts Charlotte's chances. The two contestants engage in an ultimate battle, inside and outside the pageant premises but is stopped by a mysterious half-naked hunk named Kojic Acid, who saves them from a band of assassins. He tells them that they share a common heritage and that they both need to work together to save not just themselves but the entire tribe of Chin Chan Soo, their forgotten home-tribe. The two beauty hopefuls struggle to train and work together to face and fight their common enemy, a mad ruler named Pei-pak-wah. They soon learn that they share not just a common enemy but a common destiny as well.::charlotte","Action, Comedy"
Gaydar1,Alvin Yapan,2013,"Tina thinks she's cursed. She always ends up falling in love with gays. After her latest embarrassment with Ricky, whom she thought would propose to her on their date but ends up introducing to his boyfriend, she vows never to fall in love again with men. Men always end up gay whenever she falls in love with them.::anonymous",Comedy
"Hello, World1",Joel Ferrer,2013,"In a close future, a private company developed a technology aimed at boosting our brain capacity. But it requires from its clients to store their memory data on one single server. In this highly controlled world, a young woman has the power to change things.::Anonymous","Short, Sci-Fi"
Lucas Nino1,John Torres,2013,,
Metro Manila,Sean Ellis,2013,"This riveting crime thriller follows Oscar, a recent emigrant to Manila who gets pulled into a harrowing world of corruption and violence when he takes a job as an armored car driver to support his family (in Tagalog w/ English subtitles).","Crime, Drama"
She's the One,Mae Cruz,2013,A morning show host suddenly realizes what he really wants when his best friend turns out to be the subject of a romantic viral video that captures the attention of the whole nation.::anonymous,"Drama, Romance"
Bekikang,Wenn V. Deramas,2013,"Bekikang is left and abandoned with a baby boy by friend, Fortunato. He loves and raises the child as his own flesh and blood. When things are going so well between Bekikang and the child, Fortunato and the mother of the child after years of absence reappear to take the child back.::cinesum",Comedy
Status: It's Complicated,Chris Martinez,2013,"Manny and Jerry have been best buddies and housemates for a long time. Manny believes that love, just like sex, should be shared with as many partners as possible. On the other hand, Jerry thinks that he should wait it out for that special someone. They decide to swap lifestyles just to prove whose theory is right.::Keylogger24","Comedy, Romance"
Sapi,Brillante Mendoza,2013,,Horror
Kabisera1,Borgy Torre,2013,,
Philippino Story1,Benji Garcia,2013,"Philip and Bastian are lovers. Philip has taken the responsibility to help his older brother's family in the slums. However, when Bastian pursues painting and can no longer provide for Philip, Philip resorts to hustling in order to help his brother's family. When Bastian catches Philip being picked up by a gay man in a car, he decides to keep everything inside. Can Philip and Bastian's love prevail despite the odds?",Drama
Shift1,Siege Ledesma,2013,"Burned out veteran nurse Kayle is forced to coach an enthusiastic trainee Amanda, during one dramatic 12 hour nightshift in the ER.",Drama
Saturday Night Chills1,Ian Loreños,2013,"Three friends are in their quarter life crisis. Seeking adventure and thrills, they spend most of their weekend nights on brothels and night clubs. One night, an unexpected incident will change their lives permanently.::Anonymous","Crime, Drama, Thriller"
Bendor1,Ralston Jover,2013,,Drama
Angustia1,Khristian Cordero,2013,,Drama
Islands1,Whammy Alcazaren,2013,,
Bukas na Lang Sapagkat Gabi Na1,Jet Leyco,2013,,
Riddles of My Homecoming1,Arnel Mardoquio,2013,A young man whose soul returns to his homeland to settle unfinished businesses and to finally rest. It is based on the settlers belief that when a person dies his soul goes back to his homeland.::Anonymous,"Drama, Fantasy, Mystery"
Blue Bustamante1,Miko Livelo,2013,"In 1990 George Bustamante leaves his family in the Philippines and emigrates to Japan, where he finds work as a stunt double in the famous TV series, Force Five.::anonymous",Comedy
Iskalawags1,Keith Deligero,2013,"One day, in the small peaceful town of Barrio Malinawon, seven young punks, who call themselves the Iskalawags because of their shared love for Filipino action movies (particularly those starred by their idol Jeric Raval), decide to set out on a mini quest to find the tree that according to Palot-the gang's de facto leader-bears the lone papaya fruit as large as the belly of Intoy's father.::anonymous",Drama
Pagbabalat ng Ahas1,Timmy Harn,2013,,
Sitio1,Mes De Guzman,2013,,
When the Love Is Gone,Andoy Ranay,2013,"Emmanuel is a great provider to his family but is left wanting for intimacy from his wife Audrey. Emmanuel is likewise an active tri-athlete. In one of his preparations for an upcoming triathlon, he meets Cassie, a troubled wife seeking solace at the beach, away from her gay husband.",Drama
Call Center Girl,Don Cuaresma,2013,"In her bouts to help her daughter, Teresa accidently lands on a call center job where Regina is employed, giving her a chance (or is it really?) to rekindle her relationship with her daughter. In the call center, she meets people coming from different walks of life; fun-loving Richie, young-living Lolay, prim and proper Martin, and their monster Team Leader Vince.::Keylogger24",Comedy
Morgue,Joven Tan,2013,"With his funeral parlor about to go out of business and his wife leaving him for good, Lance has become greatly exasperated. He vents all his anger and frustration to his only son, Lester. With no one to turn to, Lester finds comfort in the company of the corpses in the morgue. Where will the family's turmoil lead? What is the secret hidden in the morgue?::anonymous","Drama, Horror"
Ang Misis ni Meyor,Archie Del Mundo,2013,"MELBA is the wife of a slain farmer-leader whose murder is attributed to an incumbent governor. She goes to the city to appeal the case and to seek out a new life after the tragedy. Working as a staff member at the office of City Councilor MARTIN MORALES, she is introduced to the life inside politics. Eventually she will be deeply involved, as her decision to marry the budding politician lays a carefully planned agenda.::archie del mundo",Drama
Ang Maestra1,Joven Tan,2013,"A retired school teacher on the verge of senility finds difficulty in connecting with her grandson, who is now taking care of her.::anonymous",Drama
Dukit1,Armando Lao,2013,Story of a celebrated Kapampangan sculptor who has been battling his personal demons for years.::anonymous,Drama
Saka-Saka1,Toto Natividad,2013,"Saka Saka is about two siblings Alex Abueg (Falcon) and Abner Abueg (Marco), whose family and lives are shattered upon their initiation to the violent world of political assassins or saka saka. In this movie, it exposes the secret world of the saka saka as it explores and interrogates the age-old conflict between lawful righteousness and violent revenge. The movie is set against the contrasting backdrops of rustic, provincial life and the fast-paced, modern culture of the metropolis. By essence it is a story about family movie wherein it challenges audiences to think about the extreme extents that they may do to defend and protect their families from oppression and corruption.::fckitsjm",Action
Island Dreams1,Aloy Adlawan,2013,An unaccredited tour guide and a heartbroken tourist form a romantic bond as they explore the wilds of Philippine Islands.::Anonymous,"Comedy, Romance"
Mga Anino ng Kahapon1,Alvin Yapan,2013,"The film explores the varying degrees, forms and issues of surveillance (the feeling of being policed) which are the heart of the relationship and conflict of a schizophrenia patient and caregiver, especially during the treatment phase.::Anonymous","Drama, Family"
Boogie1,Rommel Tolentino,2013,"Boogie, a six year old boy steps out of the slums braving the dark with a failing glow stick. Like every other night, he sits patiently by the sidewalk and waits for his 20-year old mother to return from work. The sight of his mother walking down the street always make the boy's heart leap. Seeing his mother back has always been the sweet reward for his waiting. Boogie is a pimp who peddles his own mother in the street of Manila.::anonymous",Drama
"Girl, Boy, Bakla, Tomboy",Wenn V. Deramas,2013,The quadruplets are united again when one of them needs a liver transplant but resentment due to their separation threatens their reunion.::cinesum,Comedy
My Little Bossings,Marlon Rivera,2013,"Torky is a bookkeeper working for Baba, a millionaire cash management specialist. Because of some conflict in her business that puts her life in danger, Baba entrusts the safety of her son Justin to Torky who takes him home to meet his daughter Ice and Ching the street urchin that the latter took under her wing. Given that Justin is not particularly fond of Torky, how all four of them would get along under one roof becomes the focus of the story.::Keylogger24",Comedy
Kimmy Dora: Ang Kiyemeng Prequel,Chris Martinez,2013,"Twin sisters with opposite personalities are to made to work their way up their father's company, trying out different jobs within the huge conglomerate.",Comedy
Pagpag: Siyam na Buhay,Frasco S. Mortiz,2013,"The spirit of a recently deceased man hunts down nine people who attended his wake in the Philippines, but ignored some important superstitions.",Horror
"10,000 Hours",Joyce Bernal,2013,A senator is forced to go on the run after killing a judge and fights to clear his name.::facundo-joey,"Action, Drama, Thriller"
Pedro Calungsod: Batang Martir,"Francis O. Villacorta (Producer-Writer-Director) Rocco Nacino, Christian Vasquez, Jestoni Alarcon, Ryan Eigenmann, Robert Correa, Victor Basa, Carlo Gonzales, Andrew Schimmer, Arthur Solinap, and Mico Palanca",2013,"Pedro Calungsod, a young Filipino man, leaves his Visayan native roots to join the Spanish Jesuit priest Fr. Diego de San Vitores in his mission to the Marianas Islands (Guam) in 1668. The San Diego Mission arrives in the Marianas where the young Pedro, a trained catechist and mission assistant, begins work for Fr. Diego de San Vitores in baptizing the Chamorro natives, preaching the holy gospel and spreading the good news of salvation through the Christian faith amidst paganism, doubt and disbelief. Despite the longing for his father and the threats to their lives, even at the peril of death, Pedro and Fr. Diego continued their missionary work. They roamed the dangerous islands and baptized many more natives and continued to enlighten them about Christianity. Guam is now a devoutly Catholic state and this is the story of how the young Filipino saint, between wars and persecutions, played his part in this divine mission.::Wikipedia","Biography, Crime, Drama, History, Thriller, War"
"Boy Golden: Shoot to Kill, the Arturo Porcuna Story",Chito S. Roño,2013,Boy Golden is a 2013 Filipino film loosely based on the life of Arturo Porcuna who rises through the Manila gang underworld in the 1960s until his murder.::Ati atihan - Mother of All Philippine Festivals,Drama
Kaleidoscope World,Liza Cornejo,2013,A hip hop dance film featuring Filipino world class dance champions and inspired by the music of Francis Magalona.::Anonymous,"Drama, Family, Musical, Romance"
